STATE/UT,Year,CAUSE,Male,Female, Total Students
ANDHRA PRADESH,2001,Student,295,175,470
ARUNACHAL PRADESH,2001,Student,2,6,8
ASSAM,2001,Student,121,70,191
BIHAR,2001,Student,39,25,64
CHHATTISGARH,2001,Student,134,95,229
GOA,2001,Student,4,9,13
GUJARAT,2001,Student,134,130,264
HARYANA,2001,Student,87,41,128
HIMACHAL PRADESH,2001,Student,8,11,19
JAMMU & KASHMIR,2001,Student,5,1,6
JHARKHAND,2001,Student,6,1,7
KARNATAKA,2001,Student,329,183,512
KERALA,2001,Student,128,153,281
MADHYA PRADESH,2001,Student,211,94,305
MAHARASHTRA,2001,Student,433,356,789
MANIPUR,2001,Student,6,1,7
MEGHALAYA,2001,Student,7,0,7
MIZORAM,2001,Student,12,1,13
NAGALAND,2001,Student,0,1,1
ODISHA,2001,Student,144,124,268
PUNJAB,2001,Student,5,3,8
RAJASTHAN,2001,Student,121,83,204
SIKKIM,2001,Student,1,4,5
TAMIL NADU,2001,Student,236,168,404
TRIPURA,2001,Student,37,33,70
UTTAR PRADESH,2001,Student,123,88,211
UTTARAKHAND,2001,Student,12,9,21
WEST BENGAL,2001,Student,397,417,814
TOTAL (STATES),2001,Student,3037,2282,5319
A & N ISLANDS,2001,Student,3,11,14
CHANDIGARH,2001,Student,4,2,6
D & N HAVELI,2001,Student,0,0,0
DAMAN & DIU,2001,Student,0,0,0
DELHI (UT),2001,Student,55,49,104
LAKSHADWEEP,2001,Student,0,0,0
PUDUCHERRY,2001,Student,9,22,31
TOTAL (UTS),2001,Student,71,84,155
TOTAL (ALL INDIA),2001,Student,3108,2366,5474
ANDHRA PRADESH,2002,Student,303,208,511
ARUNACHAL PRADESH,2002,Student,4,5,9
ASSAM,2002,Student,88,29,117
BIHAR,2002,Student,40,14,54
CHHATTISGARH,2002,Student,122,69,191
GOA,2002,Student,8,9,17
GUJARAT,2002,Student,155,114,269
HARYANA,2002,Student,99,58,157
HIMACHAL PRADESH,2002,Student,19,12,31
JAMMU & KASHMIR,2002,Student,8,4,12
JHARKHAND,2002,Student,7,3,10
KARNATAKA,2002,Student,255,254,509
KERALA,2002,Student,146,136,282
MADHYA PRADESH,2002,Student,215,122,337
MAHARASHTRA,2002,Student,448,378,826
MANIPUR,2002,Student,7,3,10
MEGHALAYA,2002,Student,2,1,3
MIZORAM,2002,Student,1,0,1
NAGALAND,2002,Student,1,3,4
ODISHA,2002,Student,159,120,279
PUNJAB,2002,Student,11,8,19
RAJASTHAN,2002,Student,87,52,139
SIKKIM,2002,Student,3,2,5
TAMIL NADU,2002,Student,259,215,474
TRIPURA,2002,Student,19,19,38
UTTAR PRADESH,2002,Student,120,96,216
UTTARAKHAND,2002,Student,6,3,9
WEST BENGAL,2002,Student,399,268,667
TOTAL (STATES),2002,Student,2991,2205,5196
A & N ISLANDS,2002,Student,5,8,13
CHANDIGARH,2002,Student,5,4,9
D & N HAVELI,2002,Student,1,3,4
DAMAN & DIU,2002,Student,0,0,0
DELHI (UT),2002,Student,47,58,105
LAKSHADWEEP,2002,Student,0,0,0
PUDUCHERRY,2002,Student,13,15,28
TOTAL (UTS),2002,Student,71,88,159
TOTAL (ALL INDIA),2002,Student,3062,2293,5355
ANDHRA PRADESH,2003,Student,348,221,569
ARUNACHAL PRADESH,2003,Student,1,4,5
ASSAM,2003,Student,129,91,220
BIHAR,2003,Student,41,18,59
CHHATTISGARH,2003,Student,125,80,205
GOA,2003,Student,12,7,19
GUJARAT,2003,Student,91,96,187
HARYANA,2003,Student,86,39,125
HIMACHAL PRADESH,2003,Student,11,19,30
JAMMU & KASHMIR,2003,Student,2,2,4
JHARKHAND,2003,Student,7,3,10
KARNATAKA,2003,Student,227,195,422
KERALA,2003,Student,160,154,314
MADHYA PRADESH,2003,Student,184,138,322
MAHARASHTRA,2003,Student,499,375,874
MANIPUR,2003,Student,9,3,12
MEGHALAYA,2003,Student,2,1,3
MIZORAM,2003,Student,1,0,1
NAGALAND,2003,Student,1,1,2
ODISHA,2003,Student,147,112,259
PUNJAB,2003,Student,14,9,23
RAJASTHAN,2003,Student,138,67,205
SIKKIM,2003,Student,9,1,10
TAMIL NADU,2003,Student,247,219,466
TRIPURA,2003,Student,157,73,230
UTTAR PRADESH,2003,Student,118,98,216
UTTARAKHAND,2003,Student,9,8,17
WEST BENGAL,2003,Student,538,573,1111
TOTAL (STATES),2003,Student,3313,2607,5920
A & N ISLANDS,2003,Student,2,8,10
CHANDIGARH,2003,Student,4,8,12
D & N HAVELI,2003,Student,1,1,2
DAMAN & DIU,2003,Student,0,0,0
DELHI (UT),2003,Student,52,65,117
LAKSHADWEEP,2003,Student,0,0,0
PUDUCHERRY,2003,Student,15,15,30
TOTAL (UTS),2003,Student,74,97,171
TOTAL (ALL INDIA),2003,Student,3387,2704,6091
ANDHRA PRADESH,2004,Student,315,177,492
ARUNACHAL PRADESH,2004,Student,5,5,10
ASSAM,2004,Student,113,62,175
BIHAR,2004,Student,22,10,32
CHHATTISGARH,2004,Student,138,88,226
GOA,2004,Student,13,10,23
GUJARAT,2004,Student,140,107,247
HARYANA,2004,Student,79,38,117
HIMACHAL PRADESH,2004,Student,11,12,23
JAMMU & KASHMIR,2004,Student,3,3,6
JHARKHAND,2004,Student,7,3,10
KARNATAKA,2004,Student,232,216,448
KERALA,2004,Student,143,193,336
MADHYA PRADESH,2004,Student,153,111,264
MAHARASHTRA,2004,Student,516,443,959
MANIPUR,2004,Student,4,6,10
MEGHALAYA,2004,Student,6,6,12
MIZORAM,2004,Student,1,0,1
NAGALAND,2004,Student,1,0,1
ODISHA,2004,Student,145,121,266
PUNJAB,2004,Student,9,17,26
RAJASTHAN,2004,Student,98,49,147
SIKKIM,2004,Student,0,0,0
TAMIL NADU,2004,Student,247,226,473
TRIPURA,2004,Student,46,64,110
UTTAR PRADESH,2004,Student,128,73,201
UTTARAKHAND,2004,Student,7,9,16
WEST BENGAL,2004,Student,448,361,809
TOTAL (STATES),2004,Student,3030,2410,5440
A & N ISLANDS,2004,Student,8,8,16
CHANDIGARH,2004,Student,5,8,13
D & N HAVELI,2004,Student,0,2,2
DAMAN & DIU,2004,Student,0,0,0
DELHI (UT),2004,Student,57,53,110
LAKSHADWEEP,2004,Student,0,0,0
PUDUCHERRY,2004,Student,8,21,29
TOTAL (UTS),2004,Student,78,92,170
TOTAL (ALL INDIA),2004,Student,3108,2502,5610
ANDHRA PRADESH,2005,Student,274,226,500
ARUNACHAL PRADESH,2005,Student,1,1,2
ASSAM,2005,Student,103,51,154
BIHAR,2005,Student,33,14,47
CHHATTISGARH,2005,Student,116,72,188
GOA,2005,Student,8,7,15
GUJARAT,2005,Student,105,120,225
HARYANA,2005,Student,67,34,101
HIMACHAL PRADESH,2005,Student,10,15,25
JAMMU & KASHMIR,2005,Student,20,4,24
JHARKHAND,2005,Student,69,29,98
KARNATAKA,2005,Student,189,179,368
KERALA,2005,Student,140,141,281
MADHYA PRADESH,2005,Student,130,69,199
MAHARASHTRA,2005,Student,402,382,784
MANIPUR,2005,Student,1,1,2
MEGHALAYA,2005,Student,6,5,11
MIZORAM,2005,Student,0,0,0
NAGALAND,2005,Student,3,2,5
ODISHA,2005,Student,149,113,262
PUNJAB,2005,Student,17,4,21
RAJASTHAN,2005,Student,75,37,112
SIKKIM,2005,Student,5,5,10
TAMIL NADU,2005,Student,261,270,531
TRIPURA,2005,Student,29,40,69
UTTAR PRADESH,2005,Student,140,79,219
UTTARAKHAND,2005,Student,8,6,14
WEST BENGAL,2005,Student,453,278,731
TOTAL (STATES),2005,Student,2814,2184,4998
A & N ISLANDS,2005,Student,5,7,12
CHANDIGARH,2005,Student,3,3,6
D & N HAVELI,2005,Student,0,0,0
DAMAN & DIU,2005,Student,1,0,1
DELHI (UT),2005,Student,59,39,98
LAKSHADWEEP,2005,Student,0,0,0
PUDUCHERRY,2005,Student,7,16,23
TOTAL (UTS),2005,Student,75,65,140
TOTAL (ALL INDIA),2005,Student,2889,2249,5138
ANDHRA PRADESH,2006,Student,287,225,512
ARUNACHAL PRADESH,2006,Student,2,8,10
ASSAM,2006,Student,157,53,210
BIHAR,2006,Student,43,27,70
CHHATTISGARH,2006,Student,107,85,192
GOA,2006,Student,8,12,20
GUJARAT,2006,Student,137,103,240
HARYANA,2006,Student,86,40,126
HIMACHAL PRADESH,2006,Student,20,20,40
JAMMU & KASHMIR,2006,Student,7,15,22
JHARKHAND,2006,Student,71,40,111
KARNATAKA,2006,Student,230,217,447
KERALA,2006,Student,116,155,271
MADHYA PRADESH,2006,Student,198,167,365
MAHARASHTRA,2006,Student,444,438,882
MANIPUR,2006,Student,4,9,13
MEGHALAYA,2006,Student,4,6,10
MIZORAM,2006,Student,4,0,4
NAGALAND,2006,Student,2,0,2
ODISHA,2006,Student,112,159,271
